"numOfDistInd", "time1", "time2", "time3"
2, 0, 0, 0
105, 10, 10, 10
208, 10, 10, 10
312, 10, 10, 10
415, 10, 10, 10
518, 10, 10, 10
622, 10, 10, 10
725, 10, 10, 10
829, 10, 10, 10
932, 10, 10, 10
1035, 10, 10, 10
1139, 10, 10, 10
1242, 10, 10, 10
1345, 10, 10, 10
1449, 20, 20, 20
1552, 20, 20, 20
1656, 20, 20, 20
1759, 20, 20, 20
1862, 20, 20, 20
1966, 20, 20, 20
2069, 30, 30, 30
2172, 30, 30, 30
2276, 30, 30, 30
2379, 30, 30, 30
2483, 30, 40, 30
2586, 30, 30, 30
2689, 40, 40, 30
2793, 40, 40, 40
2896, 40, 40, 40
3000, 40, 40, 40
